Query	Accession	Product_Name	OrthoDB	OrthoDB_Desc	Zen_OrthoDB	Zen_OrthoDB_Desc	UKB_OrthoDB	UKB_OrthoDB_Desc	GO_BP	GO_MF	GO_CC	Evidence_existence	InterPro	Pfam	UKB_GO_BP	UKB_GO_MF	Identity	Length	Evalue	Score	ODB_OG	ODB_Description	ODB_GO_MF	ODB_GO_BP	ODB_EC	ODB_COG_category	ODB_KEGG_ko	ODB_Interpro	ODB_evalue	ODB_score
tr_A0A8J9RCM7_A0A8J9RCM7_9CHLO	A0A8J9RCM7	O-phosphoseryl-tRNA(Sec) selenium transferase	14372at33090	O-phosphoseryl-tRNA(Sec) selenium transferase	4740at75966	O-phosphoseryl-tRNA(Sec) selenium transferase	NA		GO:0001717,GO:0006412	GO:0098621,GO:0000049	GO:0005737	3	IPR015424,IPR015421,IPR019872,IPR008829	PF05889	GO:0001717,GO:0006412	GO:0098621,GO:0000049	100	557	0	1074	14372at33090	O-phosphoseryl-tRNA(Sec) selenium transferase	GO:0098621,GO:0016740	GO:0001514,GO:0001717	2.9.1.2	J,E	ko00514	IPR019872,IPR015421,IPR015424,IPR008829	0	238.6
tr_A0A8J9RD07_A0A8J9RD07_9CHLO	A0A8J9RD07	Succinate--CoA ligase [ADP-forming] subunit alpha, mitochondrial	1519596at33090	succinate--CoA ligase	70719at3041	succinate-coa ligase	NA		GO:0006099	GO:0000166,GO:0004775	GO:0005739	3	IPR017440,IPR033847,IPR003781,IPR005810,IPR036291,IPR005811,IPR016102	PF02629,PF00549	GO:0006099	GO:0000166,GO:0004775	100	330	1.68e-236	650	1519596at33090	succinate--CoA ligase	GO:0003824,GO:0004775,GO:0004776,GO:0016874,GO:0000166	GO:0006099	6.2.1.5	O,C,J	-	IPR017440,IPR033847,IPR016102,IPR005810,IPR005811,IPR036291,IPR003781	3.92e-142	155.5
tr_A0A8J9RD20_A0A8J9RD20_9CHLO	A0A8J9RD20	Uridine kinase	449699at33090	Uridine kinase-like	4037at75966	Uridine kinase-like	NA		GO:0044211,GO:0044206	GO:0005524,GO:0016301	GO:0005737	3	IPR027417,IPR000836,IPR006083,IPR029057,IPR000764	PF00485,PF14681	GO:0044211,GO:0044206	GO:0005524,GO:0016301	100	471	0	930	449699at33090	Uridine kinase-like	GO:0016301,GO:0005524,GO:0016740,GO:0003824,GO:0000166,GO:0005525,GO:0004845,GO:0004849	GO:0016310,GO:0044206	2.7.1.48	F,H,E	-	IPR000836,IPR000764,IPR027417,IPR029057,IPR006083	1.24e-185	145.98
tr_A0A8J9RD34_A0A8J9RD34_9CHLO	A0A8J9RD34	Elongation factor G, mitochondrial	288at33090	Elongation factor	676at75966	Elongation factor G	NA		GO:0070125,GO:0032790	GO:0005525,GO:0003924,GO:0003746	GO:0005739	3	IPR053905,IPR041095,IPR009022,IPR035647,IPR047872,IPR035649,IPR000640,IPR031157,IPR027417,IPR020568,IPR014721,IPR005225,IPR000795,IPR009000,IPR004540,IPR005517	PF22042,PF00679,PF14492,PF03764,PF00009	GO:0070125,GO:0032790	GO:0005525,GO:0003924,GO:0003746	100	776	0	1530	288at33090	Elongation factor	GO:0005525,GO:0000166	GO:0032543,GO:0032790	-	J,P,M	-	IPR009022,IPR005225,IPR030848,IPR047872,IPR020568,IPR041095,IPR014721,IPR000795,IPR035647,IPR031157,IPR004540,IPR009000,IPR000640,IPR027417,IPR004161,IPR005517,IPR035649	0	185.51
tr_A0A8J9RFS1_A0A8J9RFS1_9CHLO	A0A8J9RFS1	Large ribosomal subunit protein uL2	91044at33090	Ribosomal protein	91044at33090	Ribosomal protein	NA		GO:0006412	GO:0033819,GO:0003723,GO:0003735	GO:0022626,GO:0015934	3	IPR045864,IPR004143,IPR012340,IPR000544,IPR020605,IPR014722,IPR002171,IPR023672,IPR022669,IPR022671,IPR014726,IPR022666,IPR008991	PF21948,PF00181,PF03947	GO:0006412	GO:0033819,GO:0003723,GO:0003735	100	556	0	1100	91044at33090	Ribosomal protein	-	GO:0002181	-	T,J,M	-	IPR002171,IPR023672,IPR022666,IPR012340,IPR008991,IPR022671,IPR014722,IPR022669,IPR014726	3.17e-145	131.49
tr_A0A8J9RHK4_A0A8J9RHK4_9CHLO	A0A8J9RHK4	Molybdopterin biosynthesis protein CNX1	32899at33090	Molybdopterin biosynthesis protein	4349954at2759	Gephyrin	NA		GO:0006777	GO:0005524,GO:0046872,GO:0061598,GO:0061599	GO:0005829	3	IPR036425,IPR001453,IPR008284,IPR038987,IPR005111,IPR036688,IPR005110,IPR036135	PF00994,PF03454,PF03453	GO:0006777	GO:0005524,GO:0046872,GO:0061598,GO:0061599	100	447	3.9e-308	841	32899at33090	Molybdopterin biosynthesis protein	GO:0061599,GO:0016740,GO:0061598,GO:0005524,GO:0046872	GO:0006777,GO:0032324,GO:0097112,GO:0007529,GO:0098970,GO:0072579	2.10.1.1	E,G,H	-	IPR005110,IPR038987,IPR005111,IPR036688,IPR036135,IPR036425,IPR008284,IPR001453	2.6e-92	85.73
tr_A0A8J9RJ94_A0A8J9RJ94_9CHLO	A0A8J9RJ94	Flap endonuclease 1	1734at33090	flap endonuclease 1	548at75966	5'-3' exonuclease	NA		GO:0006284,GO:0043137	GO:0008409,GO:0017108,GO:0003677,GO:0000287	GO:0005739,GO:0005730,GO:0005654	3	IPR036279,IPR023426,IPR008918,IPR029060,IPR006086,IPR006084,IPR019974,IPR006085	PF00867,PF00752	GO:0006284,GO:0043137	GO:0008409,GO:0017108,GO:0003677,GO:0000287	100	385	8.55e-276	754	1734at33090	flap endonuclease 1	GO:0004518,GO:0017108,GO:0008409,GO:0000287,GO:0004519,GO:0016788,GO:0046872,GO:0003824,GO:0016787,GO:0030145	GO:0006281,GO:0043137,GO:0006284	-	L,M,P	-	IPR006085,IPR029060,IPR006086,IPR023426,IPR008918,IPR019974,IPR006084,IPR036279	8.98e-165	149.07
tr_A0A8J9RK63_A0A8J9RK63_9CHLO	A0A8J9RK63	Methylthioribose-1-phosphate isomerase	1518794at33090	Methylthioribose kinase	50911at3041	Methylthioribose-1-phosphate isomerase	NA		GO:0019509,GO:0019284	GO:0046522,GO:0046523	GO:0005737,GO:0005634	3	IPR002575,IPR000649,IPR005251,IPR042529,IPR011559,IPR011009,IPR027363,IPR009212,IPR037171	PF01636,PF01008	GO:0019509,GO:0019284	GO:0046522,GO:0046523	100	828	0	1601	1518794at33090	Methylthioribose kinase	GO:0046522	GO:0009086	5.3.1.23,2.7.1.100	T,K,C	-	IPR011009,IPR002575,IPR009212	6.14e-114	72.41
tr_A0A8J9RKD0_A0A8J9RKD0_9CHLO	A0A8J9RKD0	Aldose 1-epimerase	1572091at33090	Aldose 1-epimerase	3337at3041	Glycoside hydrolase-type carbohydrate-binding	NA		GO:0033499,GO:0006006	GO:0004034,GO:0030246	GO:0005737	3	IPR015443,IPR008183,IPR011013,IPR047215,IPR014718	PF01263	GO:0033499,GO:0006006	GO:0004034,GO:0030246	100	394	2.08e-292	797	1572091at33090	Aldose 1-epimerase	GO:0016853,GO:0004034,GO:0003824	GO:0006006,GO:0033499	-	G,M,E	-	IPR011013,IPR014718,IPR008183	1.85e-07	19.06
tr_A0A8J9RKG1_A0A8J9RKG1_9CHLO	A0A8J9RKG1	Probable acetate kinase	14620at33090	Aliphatic acid kinase, short-chain	67445at2759	Acetate Kinase	NA		GO:0006083,GO:0006085	GO:0008776,GO:0005524,GO:0000287	NA	3	IPR004372,IPR000890,IPR023865,IPR043129	PF00871	GO:0006083,GO:0006085	GO:0008776,GO:0005524,GO:0000287	100	286	8.28e-199	551	14620at33090	Aliphatic acid kinase, short-chain	GO:0016301,GO:0008776,GO:0016774,GO:0005524,GO:0016740,GO:0000166,GO:0000287,GO:0046872	GO:0016310,GO:0006083,GO:0006082,GO:0006085	2.7.2.1	C,Q,T,G	ko03010,ko03440	IPR043129,IPR023865,IPR004372,IPR000890	1.17e-202	248.25
tr_A0A8J9RKT5_A0A8J9RKT5_9CHLO	A0A8J9RKT5	tRNA-dihydrouridine synthase	1520932at33090	tRNA-dihydrouridine(16/17) synthase	44010at3041	tRNA-dihydrouridine(16/17) synthase	NA		NA	GO:0050660,GO:0017150	NA	3	IPR013785,IPR035587,IPR001269,IPR018517	PF01207	NA	GO:0050660,GO:0017150	100	390	4.29e-283	773	1520932at33090	tRNA-dihydrouridine(16/17) synthase	GO:0017150,GO:0050660,GO:0016491	GO:0008033,GO:0002943	-	L,O,T	-	IPR013785,IPR018517,IPR035587	1.9e-117	108.17
tr_A0A8J9RLA3_A0A8J9RLA3_9CHLO	A0A8J9RLA3	4-hydroxy-4-methyl-2-oxoglutarate aldolase	3742at33090	Ribonuclease E inhibitor RraA/RraA-like protein	30017at3041	4-hydroxy-4-methyl-2-oxoglutarate aldolase	NA		GO:0051252	GO:0016829,GO:0046872,GO:0008428	NA	3	IPR010203,IPR005493,IPR036704	PF03737	GO:0051252	GO:0016829,GO:0046872,GO:0008428	100	241	7.59e-168	469	3742at33090	Ribonuclease E inhibitor RraA/RraA-like protein	GO:0016829,GO:0008948,GO:0046872,GO:0008428,GO:0047443	GO:1902369,GO:0051252	4.1.1.112	J,G,Q,I	ko00053,ko00520,ko03013,ko03015	IPR010203,IPR036704,IPR005493	0	107.183
tr_A0A8J9RM72_A0A8J9RM72_9CHLO	A0A8J9RM72	Ubiquitin-like modifier-activating enzyme ATG7	52286at33090	ubiquitin-like modifier-activating enzyme	5903at75966	Ubiquitin-like modifier-activating enzyme ATG7	NA		GO:0000045,GO:0000422,GO:0006995,GO:0034727,GO:0032446,GO:0015031	GO:0019778,GO:0019779	GO:0000407	3	IPR006285,IPR032197,IPR042522,IPR042523,IPR045886,IPR000594,IPR035985	PF16420,PF00899	GO:0000045,GO:0000422,GO:0006995,GO:0034727,GO:0032446,GO:0015031	GO:0019778,GO:0019779	100	714	0	1414	52286at33090	ubiquitin-like modifier-activating enzyme	GO:0019779,GO:0019778	GO:0006995,GO:0032446,GO:0034727,GO:0000045	-	J,E,P	-	IPR006285,IPR000594,IPR035985,IPR032197,IPR042523,IPR045886,IPR042522	8.81e-169	91.1
tr_A0A8J9RMC3_A0A8J9RMC3_9CHLO	A0A8J9RMC3	Alanine--tRNA ligase	71489at33090	alanine--tRNA ligase	71489at33090	alanine--tRNA ligase	NA		GO:0070143	GO:0004813,GO:0005524,GO:0000049,GO:0008270	GO:0005739	3	IPR045864,IPR002318,IPR018162,IPR018165,IPR018164,IPR050058,IPR023033,IPR003156,IPR018163,IPR009000,IPR012947	PF02272,PF01411,PF07973	GO:0070143	GO:0004813,GO:0005524,GO:0000049,GO:0008270	100	979	0	1832	71489at33090	alanine--tRNA ligase	GO:0004813,GO:0000166,GO:0005524,GO:0002161,GO:0016874,GO:0008270,GO:0046872	GO:0006419,GO:0043039,GO:0070143	6.1.1.7	T,K,J,P	-	IPR003156,IPR018164,IPR018165,IPR045864,IPR018162,IPR012947,IPR009000,IPR023033,IPR002318,IPR018163	3.14e-248	104.77
tr_A0A8J9RMG0_A0A8J9RMG0_9CHLO	A0A8J9RMG0	Eukaryotic translation initiation factor 3 subunit A	72900at33090	Eukaryotic translation initiation factor 3 subunit A	72900at33090	Eukaryotic translation initiation factor 3 subunit A	NA		GO:0001732,GO:0002188	GO:0003729,GO:0003743	GO:0016282,GO:0033290,GO:0071540,GO:0071541,GO:0043614	3	IPR027512,IPR000717,IPR036390	PF22591,PF01399	GO:0001732,GO:0002188	GO:0003729,GO:0003743	100	1005	0	1514	72900at33090	Eukaryotic translation initiation factor 3 subunit A	-	GO:0001732,GO:0002188,GO:0002183	-	T,H,E	-	IPR000717,IPR027512	4.68e-197	90.1
tr_A0A8J9RMG1_A0A8J9RMG1_9CHLO	A0A8J9RMG1	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein	1382192at33090	light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein	69929at3041	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein	NA		GO:0036068,GO:0019685	GO:0051539,GO:0005524,GO:0046872,GO:0016730,GO:0016636	GO:0009507	3	IPR030655,IPR000392,IPR027417,IPR005971	PF00142	GO:0036068,GO:0019685	GO:0051539,GO:0005524,GO:0046872,GO:0016730,GO:0016636	100	288	2.15e-211	583	1382192at33090	light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein	GO:0000166,GO:0051536,GO:0005524,GO:0046872,GO:0016491,GO:0051539,GO:0016730,GO:0016636	GO:0015995,GO:0015979,GO:0019685	1.3.7.7	K	ko00230,ko00240,ko00860,ko03020,ppp01100,vcn01100,vcn01110	IPR000392,IPR005971,IPR030655,IPR027417	4.02e-195	238.02
tr_A0A8J9RMH0_A0A8J9RMH0_9CHLO	A0A8J9RMH0	Photosystem II D2 protein	1347741at33090	Photosystem II D2 protein	69802at3041	Photosystem II D2 protein	NA		GO:0009772	GO:0016168,GO:0045156,GO:0005506,GO:0016491	GO:0009535,GO:0009523	3	IPR036854,IPR000484,IPR005868	PF00124	GO:0009772	GO:0016168,GO:0045156,GO:0005506,GO:0016491	100	352	7.43e-267	729	1347741at33090	Photosystem II D2 protein	GO:0016168,GO:0045156,GO:0046872	GO:0019684,GO:0015979,GO:0009772	1.10.3.9	T,X,L	-	IPR036854,IPR005868,IPR000484	2.09e-261	258.52
tr_A0A8J9RMU6_A0A8J9RMU6_9CHLO	A0A8J9RMU6	Aurora kinase	39117at33090	aurora kinase, other	73706at3041	protein kinase	NA		GO:0007052,GO:0032465	GO:0005524,GO:0004674	GO:0032133,GO:0005876,GO:0051233	3	IPR030616,IPR011009,IPR000719,IPR008271	PF00069	GO:0007052,GO:0032465	GO:0005524,GO:0004674	100	236	7.96e-172	479	39117at33090	aurora kinase, other	GO:0005524,GO:0000166,GO:0016301,GO:0016740	GO:0016310	2.7.11.1	T,M,O	ko03010	IPR000719,IPR011009,IPR008271,IPR030616	2.9e-61	64.99
tr_A0A8J9RNT3_A0A8J9RNT3_9CHLO	A0A8J9RNT3	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	1520737at33090	alpha-1 3-mannosyl-glycoprotein 2-beta-n-acetylglucosaminyltransferase	9055at75966	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	NA		GO:0006486	GO:0003827,GO:0030145	GO:0000139	3	IPR004139,IPR052261,IPR029044	PF03071	GO:0006486	GO:0003827,GO:0030145	100	533	0	1078	1520737at33090	alpha-1 3-mannosyl-glycoprotein 2-beta-n-acetylglucosaminyltransferase	GO:0008375,GO:0003827,GO:0016740,GO:0046872,GO:0030145	GO:0006487	2.4.1.101	L,T,G	-	IPR004139,IPR029044	4.39e-100	80.27
tr_A0A8J9RPK1_A0A8J9RPK1_9CHLO	A0A8J9RPK1	DNA ligase	290476at33090	Dna ligase	5769at75966	DNA ligase, ATP-dependent	NA		GO:0071897,GO:0051103,GO:0006310,GO:0006303,GO:0006297	GO:0005524,GO:0003677,GO:0003910	GO:0032807	3	IPR044125,IPR001357,IPR036420,IPR000977,IPR012309,IPR012310,IPR016059,IPR012308,IPR036599,IPR029710,IPR012340	PF16589,PF04679,PF01068,PF04675	GO:0071897,GO:0051103,GO:0006310,GO:0006303,GO:0006297	GO:0005524,GO:0003677,GO:0003910	100	1323	0	2485	290476at33090	Dna ligase	GO:0003910,GO:0005524,GO:0016874,GO:0003909,GO:0000166	GO:0051103,GO:0006281,GO:0006303,GO:0006297,GO:0033152,GO:0006310,GO:0071897	6.5.1.1	T,L,J	-	IPR012340,IPR012309,IPR012310,IPR044125,IPR036599,IPR029710,IPR036420,IPR016059,IPR001357,IPR000977,IPR012308	5.02e-136	44.29
tr_A0A8J9RPT4_A0A8J9RPT4_9CHLO	A0A8J9RPT4	Cytochrome b6	1169372at33090	Cytochrome b/b6, N-terminal	69795at3041	Cytochrome b/b6, N-terminal	NA		GO:0015979,GO:0022904	GO:0045158,GO:0046872,GO:0016491	GO:0009535	3	IPR005797,IPR023530,IPR027387,IPR048259,IPR016174	PF00033	GO:0015979,GO:0022904	GO:0045158,GO:0046872,GO:0016491	100	215	1.14e-156	439	1169372at33090	Cytochrome b/b6, N-terminal	GO:0016491	GO:0022904,GO:0006122,GO:0015979	-	C,P,J	ko00195	IPR023530,IPR027387,IPR048259,IPR005797,IPR016174	4.91e-141	232.56
tr_A0A8J9RQB8_A0A8J9RQB8_9CHLO	A0A8J9RQB8	Glutamyl-tRNA(Gln) amidotransferase subunit A, chloroplastic/mitochondrial	1520049at33090	subunit A of glutamyl-tRNA(Gln) amidotransferase	421993at2759	subunit A of glutamyl-tRNA(Gln) amidotransferase	NA		GO:0070681,GO:0032543	GO:0005524,GO:0050567,GO:0016811	GO:0009570,GO:0030956,GO:0005739	3	IPR000120,IPR020556,IPR023631,IPR036928,IPR004412	PF01425	GO:0070681,GO:0032543	GO:0005524,GO:0050567,GO:0016811	100	599	0	1130	1520049at33090	subunit A of glutamyl-tRNA(Gln) amidotransferase	GO:0003824,GO:0016811,GO:0016874,GO:0005524,GO:0000166	GO:0032543,GO:0070681	6.3.5.7	E,J,Q	-	IPR023631,IPR000120,IPR020556,IPR036928,IPR004412	1.27e-178	115.37
tr_A0A8J9RRI8_A0A8J9RRI8_9CHLO	A0A8J9RRI8	Ubiquinone biosynthesis O-methyltransferase, mitochondrial	1522898at33090	Methyltransferase	4721at75966	Ubiquinone biosynthesis O-methyltransferase	NA		GO:0032259	GO:0010420,GO:0061542	GO:0031314	3	IPR029063,IPR010233	PF13489	GO:0032259	GO:0010420,GO:0061542	100	361	1.09e-259	711	1522898at33090	Methyltransferase	GO:0008425,GO:0016740,GO:0061542	GO:0006744,GO:0032259	-	H,Q,M	-	IPR029063,IPR010233	2.89e-81	94.63
tr_A0A8J9RSB4_A0A8J9RSB4_9CHLO	A0A8J9RSB4	tRNA (guanine(37)-N1)-methyltransferase	36071at33090	trna (guanine(37)-n1)-methyltransferase	9351at75966	tRNA (guanine(37)-N1)-methyltransferase	NA		GO:0030488	GO:0052906	GO:0005759,GO:0005634	3	IPR030382,IPR029063,IPR025792	PF02475	GO:0030488	GO:0052906	100	466	0	937	36071at33090	trna (guanine(37)-n1)-methyltransferase	GO:0016740,GO:0008175,GO:0052906	GO:0002939,GO:0030488,GO:0032259,GO:0008033	2.5.1.114,2.1.1.228	L,O,J	-	IPR030382,IPR025792,IPR029063	1.5e-95	81.28
tr_A0A8J9RSN9_A0A8J9RSN9_9CHLO	A0A8J9RSN9	Aurora kinase	377346at2759	kinase	377346at2759	kinase	NA		GO:0007052,GO:0032465	GO:0005524,GO:0004674	GO:0032133,GO:0005876,GO:0051233	3	IPR030616,IPR011009,IPR000719,IPR008271	PF00069	GO:0007052,GO:0032465	GO:0005524,GO:0004674	100	631	0	1197										
